Size of family unit,Related children under 18 years,,,,,,,,
,None,One,Two,Three,Four,Five,Six,Seven,Eight or more
One person (unrelated individual):,,,,,,,,,
Under age 65,16320,,,,,,,,
Aged 65 and older,15045,,,,,,,,
Two people:,,,,,,,,,
Householder under age 65,21006,21621,,,,,,,
Householder aged 65 and older,18961,21540,,,,,,,
Three people,24537,25249,25273,,,,,,
Four people,32355,32884,31812,31922,,,,,
Five people,39019,39586,38374,37436,36863,,,,
Six people,44879,45057,44128,43238,41915,41131,,,
Seven people,51638,51961,50849,50075,48631,46948,45100,,
Eight people,57753,58263,57215,56296,54992,53337,51614,51177,
Nine people or more,69473,69810,68882,68102,66822,65062,63469,63075,60645
